bin_lo_us,bin_hi_us,count
0,0.032319,0
0.032319,0.064638,0
0.064638,0.096957,0
0.096957,0.129276,0
0.129276,0.161595,0
0.161595,0.193914,0
0.193914,0.226233,0
0.226233,0.258552,0
0.258552,0.290871,0
0.290871,0.32319,0
0.32319,0.355509,0
0.355509,0.387828,0
0.387828,0.420147,0
0.420147,0.452466,0
0.452466,0.484785,0
0.484785,0.517104,0
0.517104,0.549423,0
0.549423,0.581742,0
0.581742,0.614061,0
0.614061,0.64638,0
0.64638,0.678699,0
0.678699,0.711018,0
0.711018,0.743337,0
0.743337,0.775656,0
0.775656,0.807975,0
0.807975,0.840294,0
0.840294,0.872613,0
0.872613,0.904932,0
0.904932,0.937251,0
0.937251,0.96957,0
0.96957,1.00189,0
1.00189,1.03421,0
1.03421,1.06653,9
1.06653,1.09885,1013
1.09885,1.13116,893
1.13116,1.16348,1248
1.16348,1.1958,1231
1.1958,1.22812,1080
1.22812,1.26044,895
1.26044,1.29276,684
1.29276,1.32508,1079
1.32508,1.3574,677
1.3574,1.38972,918
1.38972,1.42204,677
1.42204,1.45435,648
1.45435,1.48667,571
1.48667,1.51899,572
1.51899,1.55131,501
1.55131,1.58363,374
1.58363,1.61595,305
1.61595,1.64827,294
1.64827,1.68059,227
1.68059,1.71291,213
1.71291,1.74523,200
1.74523,1.77754,163
1.77754,1.80986,182
1.80986,1.84218,134
1.84218,1.8745,143
1.8745,1.90682,113
1.90682,1.93914,113
1.93914,1.97146,113
1.97146,2.00378,91
2.00378,2.0361,86
2.0361,2.06842,79
2.06842,2.10073,76
2.10073,2.13305,69
2.13305,2.16537,54
2.16537,2.19769,30
2.19769,2.23001,44
2.23001,2.26233,24
2.26233,2.29465,27
2.29465,2.32697,29
2.32697,2.35929,20
2.35929,2.39161,22
2.39161,2.42392,21
2.42392,2.45624,18
2.45624,2.48856,15
2.48856,2.52088,13
2.52088,2.5532,13
2.5532,2.58552,14
2.58552,2.61784,6
2.61784,2.65016,5
2.65016,2.68248,8
2.68248,2.7148,8
2.7148,2.74711,10
2.74711,2.77943,12
2.77943,2.81175,8
2.81175,2.84407,9
2.84407,2.87639,6
2.87639,2.90871,8
2.90871,2.94103,3
2.94103,2.97335,4
2.97335,3.00567,4
3.00567,3.03799,9
3.03799,3.0703,3
3.0703,3.10262,5
3.10262,3.13494,3
3.13494,3.16726,2
3.16726,3.19958,3
3.19958,3.2319,6
3.2319,3.26422,4
3.26422,3.29654,4
3.29654,3.32886,8
3.32886,3.36118,5
3.36118,3.39349,4
3.39349,3.42581,8
3.42581,3.45813,2
3.45813,3.49045,2
3.49045,3.52277,13
3.52277,3.55509,7
3.55509,3.58741,3
3.58741,3.61973,13
3.61973,3.65205,2
3.65205,3.68437,2
3.68437,3.71668,4
3.71668,3.749,3
3.749,3.78132,7
3.78132,3.81364,3
3.81364,3.84596,4
3.84596,3.87828,4
3.87828,3.9106,4
3.9106,3.94292,3
3.94292,3.97524,4
3.97524,4.00756,2
4.00756,4.03987,2
4.03987,4.07219,2
4.07219,4.10451,3
4.10451,4.13683,2
4.13683,4.16915,0
4.16915,4.20147,2
4.20147,4.23379,3
4.23379,4.26611,3
4.26611,4.29843,3
4.29843,4.33075,2
4.33075,4.36306,0
4.36306,4.39538,4
4.39538,4.4277,3
4.4277,4.46002,1
4.46002,4.49234,2
4.49234,4.52466,2
4.52466,4.55698,0
4.55698,4.5893,4
4.5893,4.62162,4
4.62162,4.65394,2
4.65394,4.68625,1
4.68625,4.71857,0
4.71857,4.75089,0
4.75089,4.78321,3
4.78321,4.81553,4
4.81553,4.84785,4
4.84785,4.88017,3
4.88017,4.91249,0
4.91249,4.94481,1
4.94481,4.97713,3
4.97713,5.00944,3
5.00944,5.04176,3
5.04176,5.07408,3
5.07408,5.1064,1
5.1064,5.13872,1
5.13872,5.17104,1
5.17104,5.20336,1
5.20336,5.23568,2
5.23568,5.268,3
5.268,5.30032,1
5.30032,5.33263,0
5.33263,5.36495,1
5.36495,5.39727,0
5.39727,5.42959,2
5.42959,5.46191,0
5.46191,5.49423,2
5.49423,5.52655,0
5.52655,5.55887,3
5.55887,5.59119,1
5.59119,5.62351,0
5.62351,5.65582,0
5.65582,5.68814,1
5.68814,5.72046,0
5.72046,5.75278,0
5.75278,5.7851,0
5.7851,5.81742,0
5.81742,5.84974,1
5.84974,5.88206,0
5.88206,5.91438,1
5.91438,5.9467,0
5.9467,5.97901,0
5.97901,6.01133,0
6.01133,6.04365,0
6.04365,6.07597,0
6.07597,6.10829,0
6.10829,6.14061,0
6.14061,6.17293,1
6.17293,6.20525,0
6.20525,6.23757,0
6.23757,6.26989,0
6.26989,6.3022,0
6.3022,6.33452,0
6.33452,6.36684,0
6.36684,6.39916,0
6.39916,6.43148,0
6.43148,6.4638,0
